State,Number of Chick-fil-A
Georgia,212.00
South Carolina,81.00
North Carolina,147.00
Alabama,66.00
Virginia,104.00
Tennessee,70.00
Texas,271.00
Maryland,60.00
West Virginia,17.00
Arkansas,26.00
Oklahoma,33.00
Mississippi,26.00
Florida,164.00
Louisiana,35.00
Delaware,6.00
Kentucky,27.00
Colorado,29.00
Utah,15.00
Pennsylvania,61.00
Kansas,12.00
Indiana,27.00
Missouri,23.00
Ohio,42.00
Arizona,23.00
Iowa,10.00
New Mexico,6.00
New Jersey,23.00
Nebraska,4.00
Idaho,3.00
Wyoming,1.00
California,59.00
Illinois,19.00
New Hampshire,1.00
Minnesota,3.00
Massachusetts,2.00
Wisconsin,1.00
Washington,1.00
Michigan,1.00
New York,1.00
Alaska,0.00
Connecticut,0.00
Hawaii,0.00
Maine,0.00
Montana,0.00
Nevada,0.00
North Dakota,0.00
Oregon,0.00
Rhode Island,0.00
South Dakota,0.00
Vermont,0.00
